"Shopping Cart","Shopping Bag"
"Update Shopping Cart","Update Shopping Bag"
"Add to Cart","Add to Bag"
"Go to Checkout","Checkout"
"Cart Subtotal","Bag Subtotal"
"Search entire store here...","Search here"
"Order Summary","Summary"
"Payment Method:","Payment"
"Tax","15% GST"
"Out of stock","Coming Soon"
"Cash On Delivery","Trade me Pay Now Credit Card Sale"
